Perusahaan,Produk,Kalori,Kalori dari Lemak,Total Lemak,Lemak Jenuh (g),Lemak tak Jenuh (g),Kolestrol (mg),Sodium (mg),Karbohidrat (g),Serat (g),Gula (g),Protein (g),WW Poin
McDollops,Peanuts (for Sundaes),45.0,30.0,3.5,0.5,0.0,0.0,0.0,2.0,1.0,0.0,2.0,43.5
McDollops,McFlurry® with M&M’S® Candies (12 fl oz cup),710.0,230.0,25.0,16.0,1.0,60.0,220.0,105.0,4.0,97.0,15.0,808.0
McDollops,McFlurry® with OREO® Cookies (12 fl oz cup),580.0,170.0,19.0,10.0,1.0,50.0,320.0,89.0,3.0,73.0,13.0,650.0
McDollops,Baked Hot Apple Pie,250.0,110.0,13.0,7.0,0.0,0.0,170.0,32.0,4.0,13.0,2.0,268.0
McDollops,Cinnamon Melts,460.0,170.0,19.0,9.0,0.0,15.0,370.0,66.0,3.0,32.0,6.0,495.0
McDollops,McDonaldland® Cookies,260.0,70.0,8.0,2.5,0.0,0.0,300.0,43.0,1.0,13.0,4.0,271.5
McDollops,Chocolate Chip Cookie,160.0,70.0,8.0,3.5,0.0,10.0,90.0,21.0,1.0,15.0,2.0,176.5
McDollops,Oatmeal Raisin Cookie,150.0,50.0,6.0,2.5,0.0,10.0,135.0,22.0,1.0,13.0,2.0,163.5
McDollops,Sugar Cookie,160.0,60.0,7.0,3.0,0.0,5.0,120.0,21.0,0.0,11.0,2.0,172.0
McDollops,Apple Dippers with Low Fat Caramel Dip,100.0,5.0,0.5,0.0,0.0,5.0,35.0,23.0,0.0,15.0,0.0,115.0
McDollops,Chocolate McCafé® Shake (12 fl oz cup),580.0,150.0,17.0,10.0,1.0,50.0,240.0,94.0,1.0,77.0,11.0,656.0
McDollops,Chocolate McCafé® Shake (16 fl oz cup),720.0,180.0,20.0,12.0,1.0,60.0,300.0,119.0,1.0,98.0,15.0,815.0
McDollops,Chocolate McCafé® Shake (22 fl oz cup),880.0,220.0,24.0,15.0,1.5,75.0,370.0,147.0,1.0,121.0,18.0,998.0
McDollops,Chocolate Triple Thick® Shake (12 fl oz cup),440.0,90.0,10.0,6.0,0.5,40.0,190.0,76.0,1.0,63.0,10.0,499.0
McDollops,Chocolate Triple Thick® Shake (16 fl oz cup),580.0,120.0,14.0,8.0,1.0,50.0,250.0,102.0,1.0,84.0,13.0,659.0
McDollops,Chocolate Triple Thick® Shake (21 fl oz cup),770.0,160.0,18.0,11.0,1.0,70.0,330.0,134.0,1.0,111.0,18.0,874.0
McDollops,Chocolate Triple Thick® Shake (32 fl oz cup),1160.0,240.0,27.0,16.0,2.0,100.0,510.0,203.0,2.0,168.0,27.0,1317.0
McDollops,Snack Size McFlurry® with M&M’S® Candies,430.0,140.0,16.0,10.0,0.5,35.0,130.0,64.0,2.0,59.0,9.0,490.0
McDollops,Snack Size McFlurry® with OREO® Cookies,340.0,100.0,12.0,6.0,0.0,30.0,200.0,53.0,2.0,43.0,8.0,381.0
McDollops,Strawberry McCafé® Shake (12 fl oz cup),570.0,150.0,17.0,10.0,1.0,50.0,170.0,92.0,0.0,79.0,11.0,648.0
McDollops,Strawberry McCafé® Shake (16 fl oz cup),710.0,180.0,20.0,12.0,1.0,65.0,210.0,116.0,0.0,100.0,14.0,808.0
McDollops,Strawberry McCafé® Shake (22 fl oz cup),860.0,220.0,24.0,15.0,1.5,75.0,260.0,144.0,0.0,124.0,18.0,981.0
McDollops,Strawberry Triple Thick® Shake (12 fl oz cup),420.0,90.0,10.0,6.0,0.5,40.0,130.0,73.0,0.0,63.0,10.0,479.0
McDollops,Strawberry Triple Thick® Shake (16 fl oz cup),560.0,120.0,13.0,8.0,1.0,50.0,170.0,97.0,0.0,84.0,13.0,639.0
McDollops,Strawberry Triple Thick® Shake (21 fl oz cup),740.0,160.0,18.0,11.0,1.0,70.0,230.0,128.0,0.0,111.0,17.0,845.0
McDollops,Strawberry Triple Thick® Shake (32 fl oz cup),1110.0,240.0,26.0,16.0,2.0,100.0,350.0,194.0,0.0,168.0,25.0,1269.0
McDollops,Vanilla McCafé® Shake (12 fl oz cup),540.0,150.0,16.0,10.0,1.0,45.0,170.0,88.0,0.0,64.0,10.0,604.0
McDollops,Vanilla McCafé® Shake (16 fl oz cup),680.0,180.0,20.0,12.0,1.0,60.0,220.0,111.0,0.0,82.0,14.0,760.0
McDollops,Vanilla McCafé® Shake (22 fl oz cup),830.0,210.0,24.0,14.0,1.5,75.0,270.0,138.0,0.0,103.0,17.0,930.0
McDollops,Vanilla Triple Thick Shake® (32 fl oz cup),1110.0,240.0,26.0,16.0,2.0,100.0,370.0,193.0,0.0,145.0,25.0,1246.0
McDollops,Vanilla Triple Thick® Shake (12 fl oz cup),420.0,90.0,10.0,6.0,0.5,40.0,140.0,72.0,0.0,54.0,9.0,471.0
McDollops,Vanilla Triple Thick® Shake (16 fl oz cup),550.0,120.0,13.0,8.0,1.0,50.0,190.0,96.0,0.0,72.0,13.0,617.0
McDollops,Vanilla Triple Thick® Shake (21 fl oz cup),740.0,160.0,18.0,11.0,1.0,70.0,250.0,128.0,0.0,96.0,17.0,830.0
McDollops,1% Low Fat Milk Jug,100.0,20.0,2.5,1.5,0.0,10.0,125.0,12.0,0.0,12.0,8.0,105.5
McDollops,1% Low Fat Chocolate Milk Jug,170.0,25.0,3.0,1.5,0.0,5.0,150.0,26.0,1.0,25.0,9.0,187.5
McDollops,Minute Maid® 100% Apple Juice Box,100.0,0.0,0.0,0.0,0.0,0.0,15.0,23.0,0.0,22.0,0.0,122.0
McDollops,Dasani® Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McDollops,Minute Maid® Orange Juice (Small),150.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,2.0,178.0
McDollops,Minute Maid® Orange Juice (Medium),190.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0,3.0,226.0
McDollops,Minute Maid® Orange Juice (Large),280.0,0.0,0.0,0.0,0.0,0.0,5.0,58.0,0.0,58.0,4.0,334.0
McDollops,Coca-Cola® Classic (Child),110.0,0.0,0.0,0.0,0.0,0.0,5.0,29.0,0.0,29.0,0.0,139.0
McDollops,Coca-Cola® Classic (Small),150.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,0.0,40.0,0.0,190.0
McDollops,Coca-Cola® Classic (Medium),210.0,0.0,0.0,0.0,0.0,0.0,15.0,58.0,0.0,58.0,0.0,268.0
McDollops,Coca-Cola® Classic (Large),310.0,0.0,0.0,0.0,0.0,0.0,20.0,86.0,0.0,86.0,0.0,396.0
McDollops,Diet Coke® (Child),0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
McDollops,Diet Coke® (Small),0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
McDollops,Diet Coke® (Medium),0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
McDollops,Diet Coke® (Large),0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0
McDollops,Sprite® (Child),110.0,0.0,0.0,0.0,0.0,0.0,30.0,28.0,0.0,28.0,0.0,138.0
McDollops,Sprite® (Small),150.0,0.0,0.0,0.0,0.0,0.0,40.0,39.0,0.0,39.0,0.0,189.0
McDollops,Sprite® (Medium),210.0,0.0,0.0,0.0,0.0,0.0,55.0,56.0,0.0,56.0,0.0,266.0
McDollops,Sprite® (Large),310.0,0.0,0.0,0.0,0.0,0.0,80.0,83.0,0.0,83.0,0.0,393.0
McDollops,Hi-C® Orange Lavaburst (Child),120.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,32.0,0.0,152.0
McDollops,Hi-C® Orange Lavaburst (Small),160.0,0.0,0.0,0.0,0.0,0.0,5.0,44.0,0.0,44.0,0.0,204.0
McDollops,Hi-C® Orange Lavaburst (Medium),240.0,0.0,0.0,0.0,0.0,0.0,10.0,64.0,0.0,64.0,0.0,304.0
McDollops,Hi-C® Orange Lavaburst (Large),350.0,0.0,0.0,0.0,0.0,0.0,10.0,94.0,0.0,94.0,0.0,444.0
McDollops,POWERade® Mountain Blast (Child),70.0,0.0,0.0,0.0,0.0,0.0,65.0,20.0,0.0,16.0,0.0,86.0
McDollops,POWERade® Mountain Blast (Small),100.0,0.0,0.0,0.0,0.0,0.0,85.0,27.0,0.0,21.0,0.0,121.0
McDollops,POWERade® Mountain Blast (Medium),150.0,0.0,0.0,0.0,0.0,0.0,130.0,39.0,0.0,31.0,0.0,181.0
McDollops,POWERade® Mountain Blast (Large),220.0,0.0,0.0,0.0,0.0,0.0,190.0,58.0,0.0,46.0,0.0,266.0
McDollops,Iced Tea (Child),0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
McDollops,Iced Tea (Small),0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
McDollops,Iced Tea (Medium),0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
McDollops,Iced Tea (Large),0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0
McDollops,Coffee (Small),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McDollops,Coffee (Large),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McDollops,Coffee Cream,20.0,20.0,2.0,1.5,0.0,10.0,15.0,0.0,0.0,0.0,0.0,21.5
McDollops,Sugar Packet,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,19.0
McDollops,"EQUAL® 0
Calorie Sweetener",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
McDollops,"SPLENDA® No
Calorie Sweetener",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
McDollops,Iced Coffee– Caramel (Small),130.0,50.0,5.0,3.5,0.0,20.0,80.0,21.0,0.0,20.0,1.0,152.5
McDollops,Iced Coffee– Caramel (Medium),190.0,70.0,8.0,5.0,0.0,30.0,115.0,27.0,0.0,27.0,2.0,220.0
McDollops,Iced Coffee– Caramel (Large),270.0,100.0,11.0,7.0,0.0,40.0,160.0,41.0,0.0,41.0,2.0,316.0
McDollops,Iced Coffee– Hazelnut (Small),130.0,50.0,5.0,3.5,0.0,20.0,40.0,21.0,0.0,21.0,1.0,153.5
McDollops,Iced Coffee– Hazelnut (Medium),190.0,70.0,8.0,5.0,0.0,30.0,60.0,29.0,0.0,29.0,2.0,222.0
